   2.00000, -98.70293,  18.77626
 -98.56805,  19.05177
 -98.56810,  19.04850
 -98.56896,  19.04425
 -98.57255,  19.04102
 -98.57705,  19.04011
 -98.58154,  19.04049
 -98.58162,  19.04000
 -98.58169,  19.03575
 -98.58604,  19.03164
 -98.59054,  19.03164
 -98.59078,  19.03150
 -98.59081,  19.02725
 -98.59503,  19.02326
 -98.59953,  19.02313
 -98.60282,  19.02300
 -98.60098,  19.01875
 -98.60403,  19.01466
 -98.60426,  19.01450
 -98.60852,  19.01192
 -98.60858,  19.01024
 -98.60860,  19.00599
 -98.61136,  19.00174
 -98.60943,  18.99749
 -98.61302,  18.99386
 -98.61371,  18.99324
 -98.61752,  18.98988
 -98.62109,  18.99324
 -98.62201,  18.99347
 -98.62202,  18.99324
 -98.62202,  18.98899
 -98.62203,  18.98474
 -98.62204,  18.98049
 -98.62206,  18.97623
 -98.62211,  18.97198
 -98.62215,  18.96773
 -98.62234,  18.96348
 -98.62447,  18.95922
 -98.62651,  18.95590
 -98.63100,  18.95564
 -98.63103,  18.95497
 -98.63106,  18.95072
 -98.63107,  18.94647
 -98.63115,  18.94221
 -98.63115,  18.93796
 -98.63128,  18.93371
 -98.63158,  18.92945
 -98.63214,  18.92520
 -98.63550,  18.92150
 -98.63683,  18.92094
 -98.64000,  18.91784
 -98.64003,  18.91669
 -98.64030,  18.91244
 -98.64017,  18.90818
 -98.64040,  18.90393
 -98.64053,  18.89968
 -98.64098,  18.89542
 -98.64449,  18.89157
 -98.64506,  18.89117
 -98.64700,  18.88692
 -98.64899,  18.88591
 -98.64999,  18.88266
 -98.64922,  18.87841
 -98.64991,  18.87415
 -98.64983,  18.86989
 -98.65040,  18.86564
 -98.65349,  18.86241
 -98.65468,  18.86139
 -98.65620,  18.85713
 -98.65798,  18.85610
 -98.66248,  18.85298
 -98.66254,  18.85288
 -98.66248,  18.85267
 -98.65831,  18.84862
 -98.65993,  18.84437
 -98.65935,  18.84011
 -98.65986,  18.83585
 -98.66248,  18.83328
 -98.66525,  18.83160
 -98.66698,  18.82812
 -98.66852,  18.82734
 -98.67147,  18.82650
 -98.67162,  18.82309
 -98.67169,  18.81883
 -98.67182,  18.81457
 -98.67218,  18.81032
 -98.67263,  18.80606
 -98.67597,  18.80223
 -98.67681,  18.80181
 -98.68047,  18.79789
 -98.68052,  18.79755
 -98.68134,  18.79329
 -98.68205,  18.78904
 -98.68400,  18.78478
 -98.68496,  18.78368
 -98.68946,  18.78085
 -98.69028,  18.78052
 -98.69395,  18.77771
 -98.69621,  18.77626
 -98.69845,  18.77533
 -98.70293,  18.77626
END
   2.00000, -98.49426,  19.11224
 -98.49162,  19.11501
 -98.48711,  19.11427
 -98.48498,  19.11649
 -98.48262,  19.11706
 -98.48137,  19.11649
 -98.47868,  19.11224
 -98.48262,  19.10936
 -98.48711,  19.11115
 -98.49162,  19.11093
 -98.49426,  19.11224
END
   3.00000, -98.70885,  18.78904
 -98.71023,  18.79329
 -98.71194,  18.79678
 -98.71259,  18.79755
 -98.71194,  18.79842
 -98.71089,  18.80181
 -98.71194,  18.80523
 -98.71262,  18.80606
 -98.71365,  18.81032
 -98.71301,  18.81457
 -98.71540,  18.81883
 -98.71539,  18.82309
 -98.71613,  18.82734
 -98.71644,  18.83075
 -98.71661,  18.83160
 -98.71886,  18.83585
 -98.72093,  18.83942
 -98.72154,  18.84011
 -98.72196,  18.84437
 -98.72382,  18.84862
 -98.72178,  18.85288
 -98.72477,  18.85713
