00003, -98.7083,  18.8064,    3573.
00006, -98.7139,  18.8340,    3504.
00009, -98.7040,  18.8142,    3438.
00012, -98.7143,  18.8161,    3228.
00015, -98.7250,  18.8973,    4065.
00018, -98.7146,  18.8312,    3501.
00021, -98.7250,  18.9219,    4271.
00024, -98.7278,  18.8583,    3860.
00027, -98.7073,  18.8739,    3566.
00030, -98.7198,  18.9290,    4069.
00033, -98.7271,  18.9304,    4134.
00036, -98.7271,  18.9490,    4032.
00039, -98.7229,  18.9245,    4066.
00042, -98.7195,  18.9377,    4068.
00045, -98.7284,  18.9401,    4330.
00048, -98.7313,  18.9602,    4319.
00051, -98.7297,  18.9519,    4295.
00054, -98.7302,  18.9586,    3882.
00057, -98.7214,  18.9617,    4539.
00060, -98.7312,  18.9689,    4562.
00063, -98.7324,  18.9617,    4564.
00066, -98.7314,  18.9795,    4746.
00069, -98.7291,  18.9980,    5096.
00072, -98.7282,  19.0083,    5061.
00075, -98.7245,  19.0348,    5389.
00078, -98.7289,  19.0095,    5220.
00081, -98.7211,  19.0327,    5476.
00084, -98.7271,  19.0266,    5120.
00087, -98.7229,  19.0279,    5432.
00090, -98.7278,  19.0471,    5286.
00093, -98.7213,  19.0554,    5265.
00096, -98.7189,  19.0691,    5723.
00099, -98.7174,  19.0652,    5565.
00102, -98.7231,  19.0642,    5309.
00105, -98.7249,  19.0591,    5301.
00108, -98.7209,  19.0599,    5428.
00111, -98.7159,  19.0765,    5623.
00114, -98.7041,  19.0967,    5921.
00117, -98.7114,  19.0905,    5822.
00120, -98.7175,  19.0722,    5313.
00123, -98.7112,  19.0900,    5794.
00126, -98.7118,  19.0849,    5522.
00129, -98.7046,  19.1096,    5999.
00132, -98.7028,  19.1116,    5867.
00135, -98.6936,  19.1278,    6178.
00138, -98.7008,  19.1149,    5982.
00141, -98.6971,  19.1216,    6262.
00144, -98.6937,  19.1329,    6395.
00147, -98.6939,  19.1284,    5951.
00150, -98.6888,  19.1405,    6346.
00153, -98.6845,  19.1386,    6462.
00156, -98.6825,  19.1405,    6433.
00159, -98.6782,  19.1384,    6614.
00162, -98.6773,  19.1385,    6619.
00165, -98.6794,  19.1380,    6377.
00168, -98.6685,  19.1347,    6699.
00171, -98.6688,  19.1355,    6774.
00174, -98.6657,  19.1322,    6792.
00177, -98.6634,  19.1334,    6811.
00180, -98.6589,  19.1303,    6890.
00183, -98.6497,  19.1279,    7252.
00186, -98.6526,  19.1281,    7048.
00189, -98.6533,  19.1279,    7105.
00192, -98.6469,  19.1277,    7154.
00195, -98.6438,  19.1249,    7182.
00198, -98.6361,  19.1187,    7511.
00201, -98.6376,  19.1213,    7301.
00204, -98.6330,  19.1182,    7412.
00207, -98.6220,  19.1079,    7656.
00210, -98.6250,  19.1073,    7506.
00213, -98.6087,  19.0993,    7753.
00216, -98.6208,  19.1085,    7599.
00219, -98.6096,  19.1019,    7741.
00222, -98.6007,  19.0930,    7962.
00225, -98.5933,  19.0833,    8016.
00228, -98.5970,  19.0885,    7891.
00231, -98.5906,  19.0850,    7849.
00234, -98.5939,  19.0797,    8058.
00237, -98.5768,  19.0747,    8236.
00240, -98.5811,  19.0777,    8154.
00243, -98.5663,  19.0751,    8663.
00246, -98.5768,  19.0755,    8094.
00249, -98.5512,  19.0872,    8788.
00252, -98.7010,  18.7846,    3285.
00255, -98.7061,  18.7813,    3231.
00258, -98.7097,  18.8094,    3670.
00261, -98.7073,  18.7957,    3114.
00264, -98.7189,  18.8488,    3638.
00267, -98.7044,  18.7974,    3150.
00270, -98.7383,  18.9359,    4193.
00273, -98.7243,  18.8934,    4190.
00276, -98.7157,  18.9311,    3890.
00279, -98.7187,  18.9035,    3799.
00282, -98.7319,  18.9325,    4265.
00285, -98.7282,  18.9380,    4204.
00288, -98.7197,  18.8900,    3591.
00291, -98.7325,  18.9475,    4225.
00294, -98.7371,  18.9594,    4522.
00297, -98.7325,  18.9509,    4102.
00300, -98.7389,  18.9649,    4223.
00303, -98.7393,  18.9538,    4356.
00306, -98.7251,  18.9705,    4361.
00309, -98.7312,  18.9743,    4682.
00312, -98.7275,  18.9541,    4085.
00315, -98.7282,  18.9821,    4806.
